PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
721.65	768	718	723	642	0	21	9	10	648	648	46.2	53.8	62.5	50
699.05	682	737	662	646	655	23	4	13	679	679	53.8	46.2	50	100
680.05	614	718	661	689	0	29	4	7	736	736	76.9	53.8	75	100
688.55	651	756	599	684	0	27	7	6	709	709	76.9	61.5	62.5	66.7
664.4	582	694	682	652	0	24	5	11	686	686	61.5	46.2	50	100
669.4	700	701	599	642	0	25	6	9	693	693	76.9	53.8	50	66.7
700.3	608	756	682	680	0	33	5	2	771	771	76.9	84.6	87.5	83.3
744.2	691	831	661	668	0	37	3	0	814	814	92.3	92.3	87.5	100
696.05	700	682	723	684	0	28	8	4	717	717	92.3	46.2	62.5	83.3
717.25	700	718	723	734	689	30	9	1	733	733	84.6	69.2	62.5	83.3
696.9	682	688	744	649	0	28	6	6	721	721	61.5	76.9	62.5	83.3
663.95	620	660	723	622	0	29	10	1	721	721	69.2	84.6	62.5	66.7
658.25	597	682	723	512	0	22	3	15	671	671	53.8	61.5	25	83.3
702.5	592	756	702	684	0	32	3	5	766	766	84.6	69.2	87.5	83.3
678.35	597	756	641	585	0	28	8	4	717	717	76.9	53.8	75	83.3
694.25	603	737	682	715	608	32	6	2	759	759	92.3	76.9	62.5	83.3
706.9	721	694	702	749	664	26	5	9	705	705	61.5	69.2	87.5	33.3
691.5	784	669	661	684	0	25	4	11	698	698	61.5	53.8	62.5	83.3
725.95	691	756	723	668	0	31	6	3	750	750	76.9	76.9	62.5	100
689.3	659	706	682	693	0	22	9	9	657	657	46.2	53.8	62.5	66.7
730.7	754	718	744	708	0	30	3	7	747	747	84.6	61.5	62.5	100
690.6	776	682	620	617	735	28	2	10	731	731	76.9	53.8	75	83.3
702.15	817	756	517	693	0	21	7	12	652	652	46.2	46.2	50	83.3
682.45	592	774	599	660	0	27	8	5	707	707	76.9	53.8	50	100
714.05	691	682	805	617	677	24	4	12	688	688	69.2	46.2	62.5	66.7
690.55	639	669	744	622	757	20	4	16	650	650	53.8	30.8	37.5	100
707.4	620	774	682	646	0	25	6	9	693	693	46.2	69.2	75	66.7
699.15	710	688	723	668	0	16	5	19	610	610	53.8	23.1	37.5	50
697.65	700	756	579	727	0	28	7	5	719	719	84.6	46.2	75	83.3
692.45	651	774	599	642	0	28	6	6	721	721	84.6	61.5	37.5	100
708	608	812	620	660	0	25	7	8	690	690	69.2	53.8	50	83.3
693.1	674	812	496	689	0	34	2	4	788	788	76.9	92.3	87.5	83.3
676.3	700	673	661	0	682	16	9	15	600	600	46.2	23.1	50	50
686.9	608	737	661	684	0	27	4	9	717	717	69.2	53.8	62.5	100
661.65	626	682	641	693	0	23	7	10	671	671	61.5	53.8	50	66.7
673.95	700	682	641	668	0	21	9	10	648	648	61.5	30.8	50	83.3
676.55	691	688	661	635	595	19	8	13	631	631	46.2	38.5	50	66.7
658.7	700	718	538	611	464	31	6	3	750	750	92.3	69.2	62.5	83.3
683.15	542	756	661	693	0	26	4	10	707	707	69.2	46.2	87.5	66.7
705.25	633	737	702	715	0	35	3	2	795	795	92.3	84.6	75	100
705.2	691	718	702	684	0	17	13	10	600	600	30.8	61.5	37.5	33.3
739.2	NA       NA	NA	NA	NA	38	2	0	826	826	100	92.3	87.5	100
686.05	614	737	682	611	570	23	7	10	671	671	69.2	38.5	50	83.3
695.95	721	718	641	684	0	21	13	6	638	638	53.8	23.1	75	83.3
690.65	667	669	764	652	630	23	10	7	664	664	61.5	30.8	75	83.3
680	626	701	661	741	0	37	3	0	814	814	100	84.6	87.5	100
687.15	645	701	702	672	0	27	4	9	717	717	76.9	61.5	50	83.3
676.15	603	718	661	672	0	24	11	5	671	671	38.5	61.5	75	83.3
677.8	608	774	558	684	0	32	4	4	764	764	69.2	76.9	87.5	100
674.45	768	678	599	660	0	17	9	14	610	610	46.2	15.4	50	83.3
667.45	603	756	599	569	564	23	13	4	657	657	46.2	53.8	87.5	50
673.55	587	701	702	652	541	34	6	0	778	778	84.6	84.6	75	100
682.5	682	706	620	734	0	28	7	5	719	719	84.6	53.8	62.5	83.3
680.2	659	718	620	703	0	22	2	16	674	674	61.5	38.5	50	83.3
657.4	721	694	558	614	0	26	14	0	683	683	76.9	46.2	62.5	83.3
662.55	608	756	517	715	0	30	8	2	736	736	76.9	76.9	75	66.7
691	674	706	682	680	0	20	12	8	631	631	38.5	69.2	50	33.3
662.65	626	756	517	680	604	24	7	9	681	681	46.2	53.8	75	83.3
682	674	737	579	708	0	21	10	9	645	645	53.8	53.8	50	50
664.5	659	682	620	708	600	27	8	5	707	707	84.6	46.2	50	100
691.55	667	701	702	672	0	28	4	8	726	726	92.3	46.2	62.5	83.3
666.05	614	694	661	657	0	24	5	11	686	686	69.2	53.8	50	66.7
681.8	582	678	764	693	0	29	8	3	726	726	84.6	38.5	87.5	100
694.3	667	706	702	657	677	25	4	11	698	698	69.2	46.2	62.5	83.3
676.15	620	718	661	638	0	24	8	8	679	679	61.5	38.5	75	83.3
687.35	784	664	641	715	0	25	9	6	686	686	61.5	46.2	75	83.3
695.85	667	701	702	715	600	25	12	3	679	679	69.2	53.8	62.5	66.7
708.2	784	701	641	757	0	25	10	5	683	683	46.2	53.8	87.5	83.3
696.55	659	737	682	603	626	30	5	5	743	743	92.3	61.5	62.5	83.3
682.2	667	694	682	660	587	27	8	5	707	707	76.9	53.8	50	100
707.15	651	756	661	715	0	28	5	7	724	724	76.9	53.8	75	83.3
720.65	710	737	702	715	0	33	4	3	774	774	84.6	76.9	75	100
664.45	639	718	599	638	0	29	7	4	728	728	53.8	84.6	75	83.3
698.1	NA	NA	NA	NA	NA	35	4	1	793	793	92.3	84.6	87.5	83.3
721.8	721	706	764	689	0	30	4	6	745	745	84.6	69.2	62.5	83.3
668.9	620	737	599	635	527	31	7	2	747	747	76.9	69.2	87.5	83.3
716.7	754	682	764	680	0	27	9	4	705	705	76.9	53.8	75	66.7
696.9	NA	NA	NA	NA	NA	39	1	0	838	838	100	92.3	100	100
678.7	639	774	558	631	0	26	5	9	705	705	53.8	76.9	62.5	66.7
702.85	667	756	661	628	640	28	9	3	714	714	69.2	69.2	75	66.7
662.4	626	774	496	649	0	26	10	4	693	693	61.5	46.2	87.5	83.3
703.55	651	706	723	749	582	29	9	2	724	724	76.9	61.5	75	83.3
665	582	737	599	672	0	33	6	1	769	769	84.6	76.9	87.5	83.3
747.8	784	756	723	699	0	35	1	4	800	800	92.3	69.2	100	100
667.35	682	694	599	689	0	20	9	11	638	638	46.2	38.5	50	83.3
719.35	732	737	682	708	636	37	3	0	814	814	100	100	62.5	100
671.7	639	694	682	611	0	26	10	4	693	693	61.5	61.5	50	100
657.6	682	694	538	635	744	17	8	15	612	612	38.5	38.5	50	50
661.15	626	718	599	631	0	29	5	6	733	733	76.9	61.5	87.5	66.7
666.5	582	812	476	657	0	34	6	0	778	778	76.9	92.3	75	100
697	651	737	641	749	708	22	8	10	660	660	61.5	30.8	75	66.7
711.7	743	694	682	734	803	30	5	5	743	743	76.9	69.2	75	83.3
707.45	645	694	805	649	626	23	8	9	669	669	61.5	53.8	62.5	50
702	572	812	620	672	0	37	3	0	814	814	100	84.6	87.5	100
711.65	659	737	702	727	0	38	2	0	826	826	92.3	100	87.5	100
706.6	651	756	682	657	0	25	11	4	681	681	61.5	53.8	62.5	83.3
694.9	608	812	558	684	0	37	3	0	814	814	100	92.3	75	100
559.1	NA	NA	NA	NA	NA	18	7	15	624	624	53.8	38.5	25	66.7
595.15	NA	NA	NA	NA	NA	13	12	15	565	565	30.8	23.1	25	66.7
724.45	NA	NA	NA	NA	NA	25	6	9	693	693	76.9	30.8	62.5	100
578.3	NA	NA	NA	NA	NA	21	8	11	650	650	69.2	46.2	25	66.7
604.15	NA	NA	NA	NA	NA	23	10	7	664	664	30.8	69.2	75	66.7
588.8	NA	NA	NA	NA	NA	15	11	14	586	586	53.8	23.1	37.5	33.3
634.75	NA	NA	NA	NA	NA	16	10	14	598	598	30.8	30.8	37.5	83.3
568.5	NA	NA	NA	NA	NA	15	11	14	586	586	38.5	38.5	25	50
574.25	NA	NA	NA	NA	NA	13	15	12	557	557	38.5	23.1	25	50
608.8	NA	NA	NA	NA	NA	11	13	16	543	543	23.1	30.8	12.5	50
582.3	NA	NA	NA	NA	NA	9	23	8	500	500	23.1	15.4	12.5	50
575.85	NA	NA	NA	NA	NA	9	15	16	519	519	15.4	23.1	12.5	50
753.7	NA	NA	NA	NA	NA	28	9	3	714	714	69.2	53.8	75	100
626.1	NA	NA	NA	NA	NA	14	6	20	588	588	53.8	30.8	12.5	33.3
612.75	NA	NA	NA	NA	NA	20	6	14	645	645	61.5	46.2	37.5	50
597.95	NA	NA	NA	NA	NA	7	13	20	505	505	7.7	15.4	12.5	50
557.05	NA	NA	NA	NA	NA	8	18	14	503	503	23.1	23.1	25	0
602.95	NA	NA	NA	NA	NA	12	7	21	567	567	30.8	23.1	37.5	33.3
565.15	NA	NA	NA	NA	NA	11	16	13	536	536	15.4	30.8	12.5	66.7
569.55	NA	NA	NA	NA	NA	16	9	15	600	600	23.1	30.8	50	83.3
562.75	NA	NA	NA	NA	NA	8	10	22	522	522	15.4	23.1	25	16.7
687.85	NA	NA	NA	NA	NA	16	11	13	595	595	38.5	23.1	50	66.7
583.05	NA	NA	NA	NA	NA	19	12	9	622	622	69.2	23.1	25	83.3
590.75	NA	NA	NA	NA	NA	19	9	12	629	629	53.8	30.8	50	66.7
573.1	NA	NA	NA	NA	NA	18	9	13	619	619	53.8	30.8	25	83.3
612.55	NA	NA	NA	NA	NA	11	13	16	543	543	38.5	15.4	12.5	50
561.1	NA	NA	NA	NA	NA	16	14	10	588	588	30.8	23.1	62.5	66.7
595.45	NA	NA	NA	NA	NA	6	24	10	470	470	7.7	30.8	0	16.7
559.15	NA	NA	NA	NA	NA	7	14	19	503	503	7.7	7.7	37.5	33.3
571.95	NA	NA	NA	NA	NA	11	10	19	550	550	7.7	23.1	50	50
676.9	633	737	599	689	0	28	6	6	721	721	84.6	46.2	75	83.3
665.2	614	737	579	660	0	32	3	5	766	766	76.9	76.9	75	100
713.85	645	737	744	672	0	24	5	11	686	686	69.2	61.5	37.5	66.7
656.1	626	656	682	652	0	19	5	16	638	638	46.2	38.5	62.5	50
655.8	626	718	558	680	0	28	7	5	719	719	69.2	46.2	87.5	100
666.95	620	673	702	646	0	27	4	9	717	717	61.5	69.2	75	66.7
658.9	620	652	702	628	660	13	10	17	569	569	30.8	30.8	25	50
656.4	587	688	682	589	0	26	7	7	700	700	84.6	46.2	62.5	66.7
692.8	645	718	702	652	0	27	9	4	705	705	92.3	53.8	37.5	83.3
667.15	651	737	538	708	0	29	6	5	731	731	69.2	53.8	87.5	100
695.4	651	688	764	646	0	26	6	8	702	702	69.2	46.2	75	83.3
668.65	645	673	702	581	613	30	10	0	731	731	69.2	69.2	87.5	83.3
663.15	614	694	661	628	551	23	6	11	674	674	76.9	30.8	62.5	66.7
681.35	721	694	641	646	626	19	11	10	624	624	61.5	30.8	25	83.3
654.5	633	682	620	0	660	27	7	6	709	709	76.9	53.8	87.5	50
692.2	674	737	641	573	655	29	5	6	733	733	76.9	46.2	87.5	100
676.9	633	688	702	652	0	22	8	10	660	660	61.5	38.5	62.5	66.7
663.7	667	673	661	585	622	18	11	11	614	614	15.4	61.5	50	66.7
714.9	817	701	661	703	708	24	5	11	686	686	69.2	46.2	37.5	100
662.95	633	682	661	642	608	17	12	11	603	603	38.5	38.5	37.5	66.7
656.05	691	664	599	693	0	23	6	11	674	674	61.5	38.5	75	66.7
747.95	700	756	785	715	670	33	7	0	766	766	92.3	69.2	75	100
707.35	754	706	703	631	0	26	5	9	705	705	69.2	38.5	75	100
669.3	651	678	682	635	0	21	9	10	648	648	61.5	30.8	50	83.3
665.25	639	694	641	649	0	16	8	16	603	603	53.8	15.4	37.5	66.7
575.15	NA	NA	NA	NA	NA	14	5	21	591	591	30.8	30.8	37.5	50
567.15	NA	NA	NA	NA	NA	17	10	13	607	607	30.8	30.8	37.5	100
593.25	NA	NA	NA	NA	NA	21	10	9	645	645	46.2	46.2	62.5	66.7
664.3	691	682	620	642	0	16	8	16	603	603	46.2	30.8	12.5	83.3
661.8	682	634	702	646	0	17	14	9	598	598	38.5	46.2	37.5	50
741.8	721	756	764	0	664	25	5	10	695	695	53.8	61.5	62.5	83.3
572.2	567	521	661	418	591	9	12	19	527	527	15.4	7.7	25	66.7
663.6	645	737	579	0	582	15	16	9	574	574	23.1	38.5	50	50
655.9	620	673	661	638	0	21	9	10	648	648	38.5	38.5	75	83.3
628.85	743	609	538	0	717	21	5	14	657	657	46.2	53.8	50	66.7
610.2	667	630	496	693	0	14	3	23	595	595	53.8	38.5	0	33.3
609.85	608	701	476	538	0	26	5	9	705	705	69.2	53.8	62.5	83.3
599.8	538	678	496	631	0	21	4	15	660	660	53.8	46.2	37.5	83.3
568.6	538	580	538	0	655	13	5	22	581	581	53.8	23.1	12.5	33.3
647.25	659	640	661	622	617	17	15	8	595	595	38.5	23.1	50	83.3
582.3	614	600	496	0	655	20	12	8	631	631	46.2	38.5	50	83.3
563.75	576	616	455	576	0	11	14	15	541	541	15.4	30.8	37.5	33.3
591	639	536	620	0	670	7	9	24	515	515	15.4	23.1	0	33.3
688.35	651	664	785	631	0	22	3	15	671	671	61.5	53.8	12.5	100
589.4	562	583	599	0	649	10	17	13	524	524	23.1	23.1	12.5	50
602.45	633	627	538	592	0	14	6	20	588	588	46.2	23.1	37.5	33.3
641.75	572	624	703	611	708	17	10	13	607	607	30.8	30.8	37.5	100
613.8	576	627	579	0	717	13	10	17	569	569	23.1	38.5	37.5	33.3
593.25	547	634	579	538	0	9	14	17	522	522	23.1	23.1	25	16.7
640.95	710	596	661	542	655	8	14	18	512	512	15.4	23.1	12.5	33.3
656.5	620	694	620	652	626	23	6	11	674	674	69.2	53.8	37.5	66.7
700.4	710	701	723	622	617	19	3	18	643	643	46.2	53.8	25	66.7
662	645	688	620	684	0	29	8	3	726	726	84.6	69.2	62.5	66.7
686.4	614	688	744	680	570	29	5	6	733	733	69.2	53.8	87.5	100
690.7	700	706	682	625	560	36	4	0	802	802	92.3	84.6	87.5	100
729.25	651	812	661	684	649	37	3	0	814	814	100	92.3	75	100
692.7	626	718	702	689	0	30	7	3	738	738	76.9	69.2	62.5	100
680.6	667	701	641	715	664	30	7	3	738	738	76.9	53.8	87.5	100
709.6	603	774	702	652	495	32	8	0	755	755	84.6	69.2	75	100
745.95	659	850	661	664	0	36	4	0	802	802	92.3	92.3	87.5	83.3
708.55	667	737	702	680	0	32	7	1	757	757	84.6	69.2	75	100
689.1	732	718	620	646	0	26	8	6	698	698	69.2	46.2	62.5	100
557.15	NA	NA	NA	NA	NA	10	6	24	550	550	30.8	7.7	25	50
679.75	721	664	661	715	645	25	7	8	690	690	61.5	61.5	62.5	66.7
655.2	NA	NA	NA	NA	NA	21	9	10	648	648	53.8	38.5	37.5	100
661.9	620	694	702	0	501	27	6	7	712	712	69.2	46.2	87.5	83.3
675.8	710	737	579	569	574	27	5	8	714	714	76.9	46.2	62.5	100
672.9	743	718	496	592	772	25	5	10	695	695	53.8	69.2	50	83.3
671.7	659	737	599	585	547	27	5	8	714	714	76.9	53.8	75	66.7
683.25	567	737	682	677	0	30	9	1	733	733	69.2	76.9	75	83.3
697.7	667	718	702	657	0	17	8	15	612	612	61.5	23.1	37.5	50
660.2	645	637	723	638	0	20	5	15	648	648	61.5	46.2	25	66.7
689	710	694	682	642	0	24	10	6	674	674	69.2	61.5	37.5	66.7
682.15	626	737	620	703	0	38	2	0	826	826	92.3	92.3	100	100
701.45	645	737	682	703	0	35	3	2	795	795	84.6	84.6	87.5	100
660.75	682	701	538	0	744	28	9	3	714	714	92.3	38.5	75	83.3
659.05	614	688	661	614	0	25	8	7	688	688	69.2	53.8	50	83.3
683.7	700	701	641	680	645	24	6	10	683	683	61.5	53.8	75	50
703.55	674	756	599	0	788	28	11	1	709	709	69.2	84.6	50	66.7
683.8	597	706	744	607	506	29	5	6	733	733	84.6	69.2	62.5	66.7
664.4	674	718	558	0	670	18	8	14	622	622	46.2	38.5	50	50
685.25	667	737	620	652	617	30	7	3	738	738	76.9	84.6	50	83.3
710.5	700	694	764	672	649	27	10	3	702	702	69.2	61.5	62.5	83.3
700.35	645	774	641	628	0	27	7	6	709	709	53.8	69.2	87.5	66.7
667.4	651	718	620	0	591	20	12	8	631	631	38.5	53.8	62.5	50
664.35	608	774	517	652	0	32	8	0	755	755	92.3	84.6	50	83.3
695.6	620	718	744	625	582	22	10	8	655	655	61.5	46.2	62.5	50
656.65	597	669	702	607	0	28	8	4	717	717	84.6	61.5	62.5	66.7
662.05	710	652	641	0	664	21	14	5	636	636	46.2	38.5	62.5	83.3
655.65	639	664	661	638	570	26	7	7	700	700	69.2	53.8	62.5	83.3
675.9	659	701	641	684	0	25	11	4	681	681	53.8	69.2	62.5	66.7
658.5	645	673	641	0	664	20	9	11	638	638	38.5	46.2	50	83.3
669.5	645	682	682	631	604	28	12	0	707	707	76.9	69.2	50	83.3
655.15	626	682	641	628	0	24	6	10	683	683	69.2	46.2	50	83.3
666.1	587	831	435	660	0	35	4	1	793	793	100	84.6	62.5	100
689.2	651	706	682	708	0	30	6	4	740	740	92.3	53.8	62.5	100
660.6	667	620	744	622	0	15	12	13	584	584	38.5	30.8	25	66.7
672.3	659	682	682	631	0	28	6	6	721	721	69.2	69.2	62.5	83.3
668.25	651	694	641	0	655	26	5	9	705	705	76.9	53.8	50	83.3
662.3	700	640	682	638	0	21	9	10	648	648	61.5	38.5	62.5	50
661.75	645	609	744	600	727	13	6	21	579	579	30.8	23.1	25	66.7
676.8	710	648	682	0	727	17	13	10	600	600	46.2	23.1	50	66.7
693.65	614	718	723	0	670	20	12	8	631	631	46.2	53.8	37.5	66.7
739.55	776	774	661	617	708	23	6	11	674	674	61.5	46.2	62.5	66.7
679.7	667	737	599	642	649	23	9	8	667	667	53.8	46.2	62.5	83.3
700.3	587	812	620	625	0	24	11	5	671	671	76.9	69.2	12.5	66.7
703.9	NA	NA	NA	NA	NA	25	7	8	690	690	69.2	61.5	50	66.7
704.3	682	756	620	727	0	40	0	0	850	850	100	100	100	100
684.25	603	706	723	652	537	25	5	10	695	695	69.2	46.2	62.5	83.3
685	626	756	620	646	0	33	4	3	774	774	100	53.8	87.5	100
715.95	721	737	702	646	0	29	7	4	728	728	76.9	69.2	62.5	83.3
782.95	754	831	764	672	0	35	4	1	793	793	84.6	84.6	87.5	100
693.45	651	774	599	652	0	29	6	5	731	731	69.2	76.9	62.5	83.3
694.4	603	756	682	631	0	29	7	4	728	728	69.2	53.8	87.5	100
698.85	608	737	744	596	0	23	13	4	657	657	76.9	46.2	37.5	66.7
723.85	674	737	764	664	660	33	5	2	771	771	92.3	76.9	75	83.3
685.6	626	756	620	652	591	33	6	1	769	769	84.6	76.9	87.5	83.3
682	691	701	599	786	626	28	7	5	719	719	76.9	46.2	87.5	83.3
704.45	710	737	682	603	0	36	4	0	802	802	92.3	92.3	87.5	83.3
688.95	633	694	723	693	0	23	9	8	667	667	53.8	61.5	25	100
718.9	743	737	661	734	0	30	6	4	740	740	84.6	61.5	75	83.3
686.65	645	718	661	693	0	27	7	6	709	709	53.8	61.5	87.5	83.3
737.05	700	737	764	660	744	25	7	8	690	690	61.5	69.2	62.5	50
694.45	608	737	702	657	0	30	8	2	736	736	92.3	61.5	62.5	83.3
690.45	682	718	661	657	0	28	10	2	712	712	69.2	61.5	75	83.3
695	710	737	641	611	0	33	7	0	766	766	92.3	69.2	75	100
691.35	614	756	661	631	0	38	1	1	828	828	84.6	100	100	100
694.2	626	694	764	657	0	28	5	7	724	724	76.9	53.8	75	83.3
685.05	667	701	702	607	0	21	4	15	660	660	61.5	38.5	50	66.7
705.65	659	756	661	684	0	24	7	9	681	681	61.5	46.2	75	66.7
737.05	710	774	723	660	0	29	6	5	731	731	69.2	69.2	62.5	100
665.35	732	701	558	0	640	25	7	8	690	690	46.2	69.2	62.5	83.3
682.55	710	688	661	657	0	32	8	0	755	755	84.6	69.2	75	100
708.6	754	682	744	638	649	21	11	8	643	643	69.2	38.5	37.5	66.7
618	552	660	620	528	556	24	13	3	667	667	69.2	61.5	50	50
627.7	639	678	538	603	582	20	10	10	636	636	53.8	30.8	37.5	100
656.3	667	627	723	581	600	10	15	15	529	529	30.8	15.4	12.5	50
671.1	592	774	558	649	600	31	3	6	757	757	69.2	69.2	87.5	100
692.7	667	701	661	786	0	31	7	2	747	747	92.3	76.9	62.5	66.7
656.5	633	694	620	611	626	18	13	9	610	610	53.8	38.5	25	66.7
685.6	691	652	764	592	630	13	7	20	576	576	38.5	30.8	12.5	50
672.7	576	682	744	646	0	34	4	2	783	783	92.3	84.6	87.5	66.7
658.95	592	718	599	0	677	33	4	3	774	774	84.6	84.6	75	83.3
661.2	651	637	723	0	636	14	11	15	576	576	15.4	30.8	62.5	50
642	620	640	682	0	595	19	9	12	629	629	46.2	61.5	12.5	66.7
622.35	552	637	682	548	527	18	13	9	610	610	46.2	46.2	37.5	50
619.8	592	645	579	664	0	18	16	6	603	603	46.2	38.5	50	50
624.3	659	664	538	592	0	21	8	11	650	650	53.8	46.2	37.5	83.3
683.8	651	737	641	617	0	25	9	6	686	686	46.2	53.8	87.5	83.3
736.15	754	706	805	664	0	34	5	1	781	781	84.6	84.6	87.5	83.3
707.4	614	756	702	689	0	39	1	0	838	838	100	100	87.5	100
689.85	674	694	703	642	670	26	12	2	688	688	53.8	69.2	62.5	83.3
697.95	633	774	641	628	582	33	7	0	766	766	76.9	92.3	75	83.3
680.1	626	706	702	617	0	30	4	6	745	745	69.2	76.9	62.5	100
699.45	659	718	723	638	547	32	7	1	757	757	84.6	69.2	75	100
702.4	710	756	620	652	0	27	11	2	700	700	61.5	69.2	62.5	83.3
697.65	614	701	744	734	0	27	9	4	705	705	69.2	53.8	62.5	100
692.4	639	718	702	660	0	29	5	6	733	733	76.9	69.2	75	66.7
705.1	582	774	702	649	574	34	6	0	778	778	84.6	84.6	75	100
679.7	659	701	661	672	0	25	3	12	700	700	76.9	46.2	62.5	66.7
693.55	645	812	517	699	0	34	6	0	778	778	84.6	92.3	75	83.3
685.25	721	694	661	635	0	21	3	16	662	662	61.5	38.5	50	66.7
771.85	768	812	723	721	0	28	7	5	719	719	61.5	76.9	62.5	83.3
706.55	645	756	661	721	0	31	7	2	747	747	76.9	76.9	75	83.3
703.45	651	812	517	786	0	33	6	1	769	769	76.9	76.9	87.5	100
698.9	667	756	620	703	0	31	6	3	750	750	61.5	84.6	75	100
684.45	562	774	641	635	0	35	3	2	795	795	92.3	76.9	87.5	100
714.4	743	737	661	689	622	30	7	3	738	738	61.5	84.6	75	83.3
685.05	682	706	661	657	0	16	7	17	605	605	23.1	38.5	50	66.7
740.15	743	737	764	677	689	33	4	3	774	774	100	76.9	62.5	83.3
681.25	674	718	641	631	582	28	5	7	724	724	76.9	53.8	75	83.3
690.5	547	812	620	607	531	32	5	3	762	762	84.6	84.6	75	66.7
687.8	691	694	682	668	604	26	10	4	693	693	76.9	30.8	75	100
711.7	754	688	764	603	0	26	8	6	698	698	61.5	46.2	75	100
704.65	674	737	682	677	0	33	7	0	766	766	92.3	69.2	75	100
776.65	700	850	723	734	0	36	4	0	802	802	92.3	84.6	87.5	100
682	651	756	558	721	0	32	5	3	762	762	92.3	76.9	62.5	83.3
699.85	721	756	599	657	0	36	4	0	802	802	100	84.6	87.5	83.3
709.3	659	718	744	684	0	25	6	9	693	693	69.2	61.5	25	100
713.4	639	774	682	668	0	27	5	8	714	714	69.2	61.5	75	66.7
688.2	582	737	661	749	0	25	7	8	690	690	61.5	61.5	50	83.3
697.45	691	688	723	689	0	20	6	14	645	645	61.5	38.5	50	50
697.05	710	737	620	684	0	34	2	4	788	788	84.6	76.9	87.5	100
683.9	592	774	620	622	0	19	13	8	619	619	53.8	30.8	37.5	83.3
686.25	597	756	661	614	0	34	3	3	785	785	76.9	92.3	87.5	83.3
708.2	645	737	723	668	649	36	3	1	804	804	84.6	92.3	87.5	100
707.95	674	756	661	677	636	31	6	3	750	750	84.6	69.2	62.5	100
632.15	651	718	435	0	701	18	4	18	631	631	69.2	30.8	25	50
628.45	633	630	641	581	0	11	8	21	555	555	46.2	15.4	12.5	33.3
631.85	592	701	538	635	0	21	7	12	652	652	61.5	38.5	62.5	50
624.6	626	678	558	548	0	12	17	11	543	543	15.4	38.5	25	50
636.5	620	673	579	589	649	25	8	7	688	688	69.2	53.8	87.5	33.3
642.9	547	688	620	689	0	20	12	8	631	631	53.8	38.5	50	66.7
678.75	710	718	579	689	0	29	10	1	721	721	84.6	76.9	50	66.7
626.3	592	694	538	611	0	21	8	11	650	650	46.2	46.2	75	50
637.85	700	627	620	607	0	19	13	8	619	619	46.2	61.5	37.5	33.3
659.05	633	718	579	646	0	31	6	3	750	750	69.2	69.2	87.5	100
626.1	572	694	538	0	649	22	10	8	655	655	61.5	46.2	25	100
635.3	633	656	620	585	0	17	10	13	607	607	38.5	46.2	50	33.3
630.05	651	652	579	617	0	19	10	11	626	626	46.2	38.5	37.5	83.3
735.2	674	718	826	708	0	28	3	9	728	728	76.9	53.8	62.5	100
653.25	597	682	661	617	0	23	2	15	683	683	76.9	30.8	75	50
684.7	626	737	661	625	626	29	3	8	738	738	76.9	69.2	75	66.7
697.85	587	737	744	628	0	29	7	4	728	728	84.6	53.8	62.5	100
697.65	700	756	599	677	0	23	10	7	664	664	53.8	53.8	50	83.3
696.9	721	678	702	721	0	27	8	5	707	707	61.5	46.2	87.5	100
682.05	674	706	641	693	0	29	9	2	724	724	76.9	61.5	75	83.3
684.95	633	756	599	684	0	32	6	2	759	759	69.2	84.6	75	100
692.6	682	694	702	684	0	22	7	11	662	662	61.5	61.5	12.5	83.3
681.4	603	701	723	646	587	26	7	7	700	700	76.9	46.2	75	66.7
705.9	691	718	682	741	0	35	2	3	797	797	76.9	92.3	87.5	100
711.35	651	812	599	660	0	33	5	2	771	771	92.3	76.9	75	83.3
690.3	614	812	558	625	626	30	6	4	740	740	84.6	61.5	75	83.3
706.1	732	718	702	611	0	30	5	5	743	743	84.6	61.5	75	83.3
687.2	691	664	744	642	0	19	12	9	622	622	46.2	38.5	37.5	83.3
680.05	639	664	723	600	727	14	10	16	579	579	30.8	15.4	50	66.7
693.6	639	718	702	672	0	31	4	5	755	755	76.9	69.2	87.5	83.3
699.25	633	756	661	672	0	34	4	2	783	783	76.9	92.3	87.5	83.3
705.3	651	718	744	660	0	25	11	4	681	681	61.5	61.5	62.5	66.7
695.3	691	737	641	652	0	26	11	3	690	690	61.5	61.5	75	66.7
693.35	608	737	702	646	0	30	6	4	740	740	69.2	69.2	75	100
713.9	645	774	702	611	0	30	4	6	745	745	76.9	61.5	75	100
688	710	701	641	703	0	32	8	0	755	755	84.6	76.9	62.5	100
689.6	667	694	702	684	0	25	10	5	683	683	61.5	53.8	62.5	83.3
685.2	710	664	702	557	689	18	6	16	626	626	46.2	30.8	25	100
696.9	576	793	641	646	0	23	11	6	662	662	38.5	61.5	62.5	83.3
688.85	674	673	744	652	600	24	4	12	688	688	61.5	53.8	50	83.3
732.15	691	774	723	649	0	27	11	2	700	700	76.9	69.2	37.5	83.3
711.95	710	701	764	635	0	32	7	1	757	757	76.9	76.9	87.5	83.3
698.55	587	812	599	660	0	37	2	1	816	816	84.6	92.3	100	100
679.3	608	694	702	699	608	25	8	7	688	688	84.6	38.5	50	83.3
698.8	572	831	599	607	0	33	4	3	774	774	76.9	84.6	87.5	83.3
714.95	667	774	661	680	0	33	3	4	776	776	69.2	76.9	100	100
