PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
702.45	608	756	703	0	649	28	3	9	728	728	53.8	76.9	75	83.3
671	645	706	620	693	0	28	4	8	726	726	61.5	69.2	62.5	100
679.75	651	756	579	646	0	28	5	7	724	724	69.2	69.2	50	100
657.95	633	678	641	660	0	25	6	9	693	693	53.8	61.5	50	100
658.8	639	688	620	664	0	23	7	10	671	671	69.2	61.5	37.5	50
669.3	645	669	723	585	0	25	6	9	693	693	76.9	53.8	37.5	83.3
671.3	721	678	620	642	670	24	8	8	679	679	69.2	46.2	62.5	66.7
716.55	587	793	702	668	0	26	4	10	707	707	69.2	61.5	62.5	66.7
670	542	706	682	734	0	20	7	13	643	643	61.5	38.5	75	16.7
667.45	659	701	620	652	0	33	7	0	766	766	84.6	92.3	50	100
677.65	700	737	538	715	0	32	8	0	755	755	100	61.5	75	83.3
667.3	710	652	702	564	0	20	5	15	648	648	61.5	46.2	37.5	50
666.05	667	688	641	628	0	30	8	2	736	736	76.9	69.2	75	83.3
685.35	645	706	661	734	0	31	4	5	755	755	92.3	46.2	100	83.3
666.8	620	678	682	672	0	27	5	8	714	714	61.5	53.8	75	100
676.2	633	656	744	684	0	29	4	7	736	736	84.6	53.8	87.5	66.7
657.6	645	701	579	684	0	25	6	9	693	693	69.2	76.9	50	33.3
676.1	587	812	496	693	0	31	7	2	747	747	84.6	69.2	75	83.3
636.2	691	620	620	569	640	16	11	13	595	595	53.8	23.1	25	66.7
673.2	710	669	661	649	0	24	11	5	671	671	61.5	61.5	62.5	50
696.6	682	688	744	646	0	26	4	10	707	707	76.9	53.8	62.5	66.7
693.6	633	701	723	708	0	30	2	8	750	750	84.6	69.2	62.5	83.3
668.65	639	737	580	642	0	27	5	8	714	714	76.9	61.5	62.5	66.7
670.35	710	682	599	660	717	30	5	5	743	743	84.6	76.9	50	83.3
677.7	645	701	661	680	604	31	4	5	755	755	84.6	61.5	87.5	83.3
694.95	710	756	579	680	0	25	10	5	683	683	38.5	61.5	75	100
660.4	639	756	496	684	0	28	7	5	719	719	84.6	61.5	37.5	100
674.4	572	737	661	631	0	17	7	16	614	614	46.2	30.8	50	50
676.5	597	718	682	635	0	20	8	12	641	641	53.8	30.8	62.5	66.7
659.65	572	756	579	603	517	25	8	7	688	688	76.9	46.2	50	83.3
697.15	682	756	641	603	0	35	2	3	797	797	92.3	76.9	87.5	100
673.45	608	737	620	652	0	29	4	7	736	736	84.6	53.8	62.5	100
664.25	620	678	661	699	0	27	8	5	707	707	69.2	76.9	37.5	83.3
674.3	645	718	620	672	595	33	4	3	774	774	84.6	69.2	87.5	100
668.3	582	737	641	600	0	25	4	11	698	698	76.9	46.2	50	83.3
660.5	608	737	579	625	0	27	11	2	700	700	69.2	61.5	75	66.7
